order,id,date,time,title,url,visitCount,typedCount,transition
0,8838,5/6/2024,21:19:44,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=LN2NeuaNaflN,3,0,link
1,8840,5/6/2024,21:19:40,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=Ev9VvnYLa5vZ,1,0,link
2,8836,5/6/2024,21:19:37,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=zHmr0obDaeLa,4,0,link
3,8838,5/6/2024,21:19:20,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=LN2NeuaNaflN,3,0,link
4,8837,5/6/2024,21:19:03,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=Hmhc9V3sae-v,2,0,link
5,8834,5/6/2024,21:19:02,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=tRmEgaf4ab6O,4,0,link
6,8839,5/6/2024,21:18:57,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=2r3hpb8YaisZ,2,0,link
7,8836,5/6/2024,21:18:14,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=zHmr0obDaeLa,4,0,link
8,8831,5/6/2024,21:18:09,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=JWwdZh0BZ4wb,6,0,link
9,8839,5/6/2024,21:18:06,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=2r3hpb8YaisZ,2,0,link
10,8832,5/6/2024,21:18:05,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=u71ON2mcaOlj,3,0,link
11,8836,5/6/2024,21:17:55,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=zHmr0obDaeLa,4,0,link
12,8838,5/6/2024,21:17:53,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=LN2NeuaNaflN,3,0,link
13,8834,5/6/2024,21:17:52,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=tRmEgaf4ab6O,4,0,link
14,8837,5/6/2024,21:17:51,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=Hmhc9V3sae-v,2,0,link
15,8833,5/6/2024,21:17:49,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=2E6JmOxhaZry,2,0,link
16,8834,5/6/2024,21:17:49,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=tRmEgaf4ab6O,4,0,link
17,8836,5/6/2024,21:17:47,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=zHmr0obDaeLa,4,0,link
18,8831,5/6/2024,21:17:45,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=JWwdZh0BZ4wb,6,0,link
19,8835,5/6/2024,21:17:43,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=NXnG7M20adEu,1,0,link
20,8834,5/6/2024,21:17:38,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=tRmEgaf4ab6O,4,0,link
21,8833,5/6/2024,21:17:29,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=2E6JmOxhaZry,2,0,link
22,8831,5/6/2024,21:17:25,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=JWwdZh0BZ4wb,6,0,link
23,8832,5/6/2024,21:16:51,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=u71ON2mcaOlj,3,0,link
24,8831,5/6/2024,21:16:49,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=JWwdZh0BZ4wb,6,0,link
25,8831,5/6/2024,21:16:46,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=JWwdZh0BZ4wb,6,0,link
26,8832,5/6/2024,21:16:43,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=u71ON2mcaOlj,3,0,link
27,8831,5/6/2024,21:15:17,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#scrollTo=JWwdZh0BZ4wb,6,0,link
28,8830,5/6/2024,21:15:14,Untitled3.ipynb - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p,1,0,link
29,8829,5/6/2024,21:15:12,Untitled - Colab,https://colab.research.google.com/drive/1ugDg24m7So08C7kGnMAH7MbtU3lF-b_p#updateTitle=true&folderId=1XUCAEwqwEJ1ENupHMW3v4cUbaLE-zbwz,1,0,link
30,8828,5/6/2024,21:15:07,Google Colab,https://colab.research.google.com/#create=true,1,0,link
31,8827,5/6/2024,21:15:01,"Olá, este é o Colaboratory - Colab",https://colab.research.google.com/,1,0,link
32,8826,5/6/2024,21:14:58,colab - Pesquisa Google,https://www.google.com/search?q=colab&rlz=1C1FKPE_pt-PTBR1100BR1100&oq=colab&gs_lcrp=EgZjaHJvbWUqDQgAEAAYgwEYsQMYgAQyDQgAEAAYgwEYsQMYgAQyDQgBEAAYgwEYsQMYgAQyDQgCEAAYgwEYsQMYgAQyDQgDEAAYgwEYsQMYgAQyDQgEEAAYgwEYsQMYgAQyDQgFEAAYgwEYsQMYgAQyCggGEAAYsQMYgAQyBggHEAUYQNIBCDIxODRqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,2,0,link
33,8826,5/6/2024,21:14:58,colab - Pesquisa Google,https://www.google.com/search?q=colab&rlz=1C1FKPE_pt-PTBR1100BR1100&oq=colab&gs_lcrp=EgZjaHJvbWUqDQgAEAAYgwEYsQMYgAQyDQgAEAAYgwEYsQMYgAQyDQgBEAAYgwEYsQMYgAQyDQgCEAAYgwEYsQMYgAQyDQgDEAAYgwEYsQMYgAQyDQgEEAAYgwEYsQMYgAQyDQgFEAAYgwEYsQMYgAQyCggGEAAYsQMYgAQyBggHEAUYQNIBCDIxODRqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,2,0,generated
34,8746,5/6/2024,21:08:29,Untitled prompt | Google AI Studio,https://aistudio.google.com/app/prompts/new_chat,4,0,link
35,8825,5/6/2024,21:08:21,My library | Google AI Studio,https://aistudio.google.com/app/library,1,0,link
36,8822,5/6/2024,21:08:12,Analise de Histórico de Intenet | Google AI Studio,https://aistudio.google.com/app/prompts/1o0LWuizP-EbCFNbn-fO2TqZt_gL_avQs,3,0,link
37,8824,5/6/2024,20:26:55,,file:///C:/Projetos/Imers%C3%A3o%20IA%20Alura/Aula%2001%20-%20Uso%20do%20Gemini%20para%20Criar%20textos%20e%20analisar%20arquivos/my_history.txt,1,0,link
38,8823,5/6/2024,20:25:05,,file:///C:/Projetos/Imers%C3%A3o%20IA%20Alura/Aula%2001%20-%20Uso%20do%20Gemini%20para%20Criar%20textos%20e%20analisar%20arquivos/my_history.json,1,0,link
39,8822,5/6/2024,20:24:24,Analise de Histórico de Intenet | Google AI Studio,https://aistudio.google.com/app/prompts/1o0LWuizP-EbCFNbn-fO2TqZt_gL_avQs,3,0,link
40,8822,5/6/2024,20:24:13,Analise de Histórico de Intenet | Google AI Studio,https://aistudio.google.com/app/prompts/1o0LWuizP-EbCFNbn-fO2TqZt_gL_avQs,3,0,link
41,8746,5/6/2024,20:23:58,Untitled prompt | Google AI Studio,https://aistudio.google.com/app/prompts/new_chat,4,0,link
42,8798,5/6/2024,20:17:47,Gemini,https://gemini.google.com/app/64dc153b59d6acd4,4,0,link
43,8710,5/6/2024,20:17:44,Gemini,https://gemini.google.com/app/68d0ad5a888553b9,4,0,link
44,8798,5/6/2024,20:17:41,Gemini,https://gemini.google.com/app/64dc153b59d6acd4,4,0,link
45,8715,5/6/2024,20:17:38,Gemini,https://gemini.google.com/app/50075dad915049c3,2,0,link
46,8713,5/6/2024,20:17:37,Gemini,https://gemini.google.com/app/08570f88a709731f,3,0,link
47,8798,5/6/2024,20:17:29,Gemini,https://gemini.google.com/app/64dc153b59d6acd4,4,0,link
48,8492,5/6/2024,20:16:54,Referencias para estudo - Documentos Google,https://docs.google.com/document/d/1CKi_U5ribAObMSy2nAi5TL0qw_GZrGHY7QQ5CQQ5j5A/edit,13,0,link
49,8498,5/6/2024,20:16:52,Referencias para estudo - Documentos Google,https://docs.google.com/document/d/1CKi_U5ribAObMSy2nAi5TL0qw_GZrGHY7QQ5CQQ5j5A/edit#heading=h.h9k7qvjlrq3i,10,0,link
50,8498,5/6/2024,20:16:52,Referencias para estudo - Documentos Google,https://docs.google.com/document/d/1CKi_U5ribAObMSy2nAi5TL0qw_GZrGHY7QQ5CQQ5j5A/edit#heading=h.h9k7qvjlrq3i,10,0,link
51,8498,5/6/2024,20:16:51,Referencias para estudo - Documentos Google,https://docs.google.com/document/d/1CKi_U5ribAObMSy2nAi5TL0qw_GZrGHY7QQ5CQQ5j5A/edit#heading=h.h9k7qvjlrq3i,10,0,link
52,8492,5/6/2024,20:16:51,Referencias para estudo - Documentos Google,https://docs.google.com/document/d/1CKi_U5ribAObMSy2nAi5TL0qw_GZrGHY7QQ5CQQ5j5A/edit,13,0,link
53,8546,5/6/2024,20:16:51,Referencias para estudo - Documentos Google,https://docs.google.com/document/d/1CKi_U5ribAObMSy2nAi5TL0qw_GZrGHY7QQ5CQQ5j5A/edit?usp=drive_web&ouid=111112427883777413536,6,0,link
54,8546,5/6/2024,20:16:51,Referencias para estudo - Documentos Google,https://docs.google.com/document/d/1CKi_U5ribAObMSy2nAi5TL0qw_GZrGHY7QQ5CQQ5j5A/edit?usp=drive_web&ouid=111112427883777413536,6,0,link
55,8490,5/6/2024,20:16:48,Imersão Alura IA Gemini - Google Drive,https://drive.google.com/drive/folders/1EgQCbArmASl8Nby5XnEQoY2OSUxRYvo6,3,0,link
56,982,5/6/2024,20:16:13,Pessoal - Google Drive,https://drive.google.com/drive/home,4,0,link
57,984,5/6/2024,20:15:56,Google Drive,https://drive.google.com/drive/,3,0,link
58,328,5/6/2024,20:15:51,Google,https://www.google.com.br/,28,22,typed
59,8821,5/6/2024,20:15:27,Analise de Visão Computacional (Imagem) | Google AI Studio,https://aistudio.google.com/app/prompts/1BzZk8xQeBQYEfpLDS54CvPzYLg09UF7r,1,0,link
60,8820,5/6/2024,20:12:48,Quick Chrome History Export,https://chromewebstore.google.com/detail/quick-chrome-history-expo/hdfpifhfphhgjipcnfnolgalplokmmge?pli=1,2,0,link
61,8820,5/6/2024,20:12:47,Quick Chrome History Export,https://chromewebstore.google.com/detail/quick-chrome-history-expo/hdfpifhfphhgjipcnfnolgalplokmmge?pli=1,2,0,link
62,8686,5/6/2024,20:12:14,Imersões | Alura - Cursos online de tecnologia,https://cursos.alura.com.br/imersoes/aulas/aula-1-mergulhando-no-gemini-a-ia-do-google-c128,2,0,link
63,392,5/6/2024,20:10:43,﻿,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/browser/js/local-fte.html,5,0,link
64,8816,5/6/2024,20:10:43,Dia_1_Desafio_1.pdf,file:///C:/Users/Carlos%20Cavalheiro/Downloads/Dia_1_Desafio_1.pdf,1,0,link
65,8815,5/6/2024,20:10:21,(274) Discord | #✅┇resultados | Imersão IA,https://discord.com/channels/1228404913705451612/1228404914871468073,1,0,link
